county,dem,rep
 Albany,78504,42554
 Allegany,4646,11421
 Broome,37106,37337
 Cattaraugus,9077,17485
 Cayuga,12779,15316
 Chautauqua,18112,27516
 Chemung,13277,18347
 Chenango,6417,10849
 Clinton,14217,13312
 Columbia,14146,11867
 Cortland,8307,8930
 Delaware,6194,10827
 Dutchess,58910,54366
 Erie,205773,159742
 Essex,7341,7347
 Franklin,6994,7670
 Fulton,6215,12331
 Genesee,7276,14646
 Greene,6914,11620
 Hamilton,906,1897
 Herkimer,7708,15110
 Jefferson,13150,19894
 Lewis,3009,6698
 Livingston,10140,15168
 Madison,10988,14144
 Monroe,179142,116476
 Montgomery,6264,9894
 Nassau,324212,272873
 Niagara,33927,44289
 Oneida,32217,46282
 Onondaga,107049,73700
 Ontario,21062,22788
 Orange,65532,68509
 Orleans,4239,9700
 Oswego,16186,24794
 Otsego,9809,12156
 Putnam,18324,23905
 Rensselaer,30506,28591
 Rockland,67098,54873
 Saratoga,48503,48584
 Schenectady,32072,25203
 Schoharie,3966,7705
 Schuyler,2817,4517
 Seneca,5350,6488
 St. Lawrence,15749,18236
 Steuben,11982,24743
 Suffolk,292720,314639
 Sullivan,11913,13929
 Tioga,7123,12206
 Tompkins,26093,9370
 Ulster,40674,30288
 Warren,12461,14317
 Washington,8564,12170
 Wayne,12728,20221
 Westchester,265256,119658
 Wyoming,3716,10928
 Yates,3473,5089
 Bronx,347893,34089
 Kings,611439,129368
 New York,557859,60638
 Queens,502411,137148
 Richmond,71348,92383
